,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
556,0.3759519100189209,0.11281108856201172,0.9428571428571428,0.9729437229437229,"(100, 25, 100)",0.01,18,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.01, 'filter__n': 18}",49,0.9783549783549783,0.9653679653679653,0.9653679653679653,0.9745670995670995,0.9588744588744589,0.9718614718614719,0.9047619047619048,0.9821428571428571,0.9069264069264069,0.9707792207792207,0.008799478984155049,0.00942836906774892,0.030872812692078654,0.005486489980795053
557,0.35748491287231443,0.11128082275390624,0.9116883116883117,0.9547619047619047,"(100, 25, 100)",0.01,19,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.01, 'filter__n': 19}",254,0.9588744588744589,0.9653679653679653,0.9155844155844156,0.9415584415584416,0.9502164502164502,0.9637445887445888,0.8376623376623377,0.9383116883116883,0.8961038961038961,0.9648268398268398,0.027246316266005124,0.0043341667006274644,0.04347148124894611,0.012160765706136554
558,0.35274882316589357,0.1251066207885742,0.7722943722943723,0.8077922077922078,"(100, 25, 100)",0.06,2,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 2}",468,0.7575757575757576,0.7851731601731602,0.7813852813852814,0.816017316017316,0.8095238095238095,0.829004329004329,0.7619047619047619,0.7965367965367965,0.7510822510822511,0.8122294372294372,0.01778601718741293,0.00653488090305958,0.02118117718220791,0.015333630323131307
559,0.37140812873840334,0.11607017517089843,0.8666666666666667,0.9125541125541126,"(100, 25, 100)",0.06,3,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 3}",399,0.8874458874458875,0.920995670995671,0.8874458874458875,0.887987012987013,0.8896103896103896,0.9204545454545454,0.8528138528138528,0.9128787878787878,0.816017316017316,0.9204545454545454,0.025187529904780737,0.00028722715184613677,0.02880008204065786,0.012647065937655006
560,0.3509363651275635,0.11411862373352051,0.9164502164502164,0.9324675324675326,"(100, 25, 100)",0.06,4,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 4}",219,0.9242424242424242,0.9264069264069265,0.9372294372294372,0.9426406926406926,0.935064935064935,0.9307359307359307,0.9264069264069265,0.948051948051948,0.8593073593073594,0.9145021645021645,0.015589919015270109,0.005561972879588041,0.02899463558379279,0.011906729471406976
561,0.35153660774230955,0.11339359283447266,0.9043290043290043,0.9427489177489177,"(100, 25, 100)",0.06,5,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 5}",301,0.8961038961038961,0.9356060606060606,0.9393939393939394,0.9534632034632035,0.948051948051948,0.9485930735930735,0.8333333333333334,0.9426406926406926,0.9047619047619048,0.9334415584415584,0.0316923340346918,0.004907191420005673,0.0406188886778871,0.007571117936100746
562,0.3396263122558594,0.11310148239135742,0.9069264069264069,0.9375541125541126,"(100, 25, 100)",0.06,6,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 6}",285,0.8982683982683982,0.9296536796536796,0.9372294372294372,0.9442640692640693,0.9523809523809523,0.9388528138528138,0.8571428571428571,0.9274891774891775,0.8896103896103896,0.9475108225108225,0.011565289087573443,0.0041525567351517155,0.03416898226956037,0.007868493822205004
563,0.3546553611755371,0.11578288078308105,0.887012987012987,0.9387445887445887,"(100, 25, 100)",0.06,7,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 7}",364,0.9177489177489178,0.9361471861471862,0.9177489177489178,0.9388528138528138,0.9372294372294372,0.9388528138528138,0.7402597402597403,0.9307359307359307,0.922077922077922,0.9491341991341992,0.016238478332825528,0.0021307772649928067,0.0737253712808237,0.005980844969544636
564,0.33511881828308104,0.11580038070678711,0.9051948051948052,0.9234848484848485,"(100, 25, 100)",0.06,8,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 8}",296,0.8982683982683982,0.9285714285714286,0.9393939393939394,0.9101731601731602,0.8982683982683982,0.9128787878787878,0.8744588744588745,0.9420995670995671,0.9155844155844156,0.9237012987012987,0.014446394998621414,0.001782590732382354,0.02153217336007948,0.011507540693523674
565,0.3649097442626953,0.11602907180786133,0.9311688311688312,0.9446969696969697,"(100, 25, 100)",0.06,9,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 9}",120,0.9567099567099567,0.9512987012987013,0.9415584415584416,0.9296536796536796,0.9307359307359307,0.9161255411255411,0.9134199134199135,0.9577922077922078,0.9134199134199135,0.9686147186147186,0.04136679365184928,0.009787318036807307,0.01667650241061317,0.019129840250998176
566,0.36815733909606935,0.11576356887817382,0.9432900432900433,0.9554112554112553,"(100, 25, 100)",0.06,10,"{'NN__hidden_layer_sizes': (100, 25, 100), 'NN__learning_rate_init': 0.06, 'filter__n': 10}",40,0.9675324675324676,0.9572510822510822,0.948051948051948,0.9496753246753247,0.9458874458874459,0.9491341991341992,0.9393939393939394,0.9696969696969697,0.9155844155844156,0.9512987012987013,0.020986632005953965,0.0035255050713870538,0.016732595748993672,0.00770301283518366
