,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustGMM__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
193,0.18980488777160645,0.04191699028015137,0.8848484848484849,0.9563852813852816,"(25, 25)",0.06,16,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.06, 'addClustGMM__n_clusters': 16}",167,0.8722943722943723,0.95995670995671,0.9177489177489178,0.939935064935065,0.9069264069264069,0.9426406926406926,0.8398268398268398,0.974025974025974,0.8874458874458875,0.9653679653679653,0.05274093198751671,0.012619864303822406,0.027426898807718023,0.013146566787065115
194,0.22660303115844727,0.044718694686889646,0.845021645021645,0.9525974025974027,"(25, 25)",0.06,18,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.06, 'addClustGMM__n_clusters': 18}",325,0.854978354978355,0.9523809523809523,0.8354978354978355,0.961038961038961,0.8138528138528138,0.9431818181818182,0.8528138528138528,0.9653679653679653,0.8679653679653679,0.941017316017316,0.023973869388151603,0.02037496848035547,0.01870009616143305,0.009561858273208487
195,0.22329578399658204,0.04903044700622559,0.9186147186147187,0.9619047619047618,"(25, 25)",0.06,20,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.06, 'addClustGMM__n_clusters': 20}",44,0.9458874458874459,0.95995670995671,0.9437229437229437,0.9550865800865801,0.8896103896103896,0.961038961038961,0.9264069264069265,0.9664502164502164,0.8874458874458875,0.966991341991342,0.033975678665374445,0.03182424554426688,0.02548603641477926,0.004417387799125212
196,0.2819549560546875,0.06005983352661133,0.8748917748917749,0.9477272727272729,"(25, 25)",0.06,25,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.06, 'addClustGMM__n_clusters': 25}",205,0.9025974025974026,0.9594155844155844,0.9025974025974026,0.9372294372294372,0.8701298701298701,0.9334415584415584,0.8354978354978355,0.9588744588744589,0.8636363636363636,0.9496753246753247,0.025645713532541962,0.019925997172768998,0.025441879229290244,0.010760645689809965
197,0.3152005672454834,0.06575794219970703,0.8484848484848485,0.9602813852813853,"(25, 25)",0.06,30,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.06, 'addClustGMM__n_clusters': 30}",313,0.8268398268398268,0.95995670995671,0.8593073593073594,0.9583333333333334,0.8852813852813853,0.9534632034632035,0.8116883116883117,0.9556277056277056,0.8593073593073594,0.974025974025974,0.05206570278279517,0.028302272516123186,0.02611792749610108,0.007224380635618456
198,0.05969138145446777,0.0006015300750732422,0.9216450216450216,0.9620129870129869,"(25, 25)",0.1,2,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.1, 'addClustGMM__n_clusters': 2}",36,0.9155844155844156,0.9485930735930735,0.9675324675324676,0.9534632034632035,0.9415584415584416,0.9745670995670995,0.8787878787878788,0.9659090909090909,0.9047619047619048,0.9675324675324676,0.015659769835178486,0.0012030601501464844,0.03053099165801812,0.009554505824391026
199,0.06590185165405274,0.006250810623168945,0.9324675324675324,0.9634199134199134,"(25, 25)",0.1,3,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.1, 'addClustGMM__n_clusters': 3}",13,0.9653679653679653,0.9507575757575758,0.9393939393939394,0.9648268398268398,0.9329004329004329,0.9696969696969697,0.9199134199134199,0.9707792207792207,0.9047619047619048,0.961038961038961,0.006250906044252996,0.007655648262047516,0.020277122820139153,0.007232482444417134
200,0.06925263404846191,0.008422279357910156,0.919047619047619,0.9608225108225108,"(25, 25)",0.1,4,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.1, 'addClustGMM__n_clusters': 4}",43,0.9372294372294372,0.954004329004329,0.974025974025974,0.9615800865800865,0.9004329004329005,0.9458874458874459,0.8701298701298701,0.966991341991342,0.9134199134199135,0.9756493506493507,0.009760474429779908,0.003192618856306658,0.034998065682091316,0.010276257550189802
201,0.0714902400970459,0.012132215499877929,0.8796536796536797,0.9432900432900434,"(25, 25)",0.1,5,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.1, 'addClustGMM__n_clusters': 5}",185,0.8766233766233766,0.9247835497835498,0.9393939393939394,0.9420995670995671,0.9437229437229437,0.9442640692640693,0.7575757575757576,0.939935064935065,0.8809523809523809,0.9653679653679653,0.023571385483649877,0.004956824204835524,0.06721258461418178,0.012988816613573562
202,0.11380419731140137,0.01624889373779297,0.883982683982684,0.9612554112554111,"(25, 25)",0.1,6,"{'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.1, 'addClustGMM__n_clusters': 6}",170,0.9632034632034632,0.9751082251082251,0.9567099567099567,0.9696969696969697,0.8138528138528138,0.9442640692640693,0.8116883116883117,0.9653679653679653,0.8744588744588745,0.9518398268398268,0.02173489199063947,0.012012038975698554,0.06603115318758278,0.011466755377572012
